timestamp,frame_id,packet_type,throttle,brake,steering,speed,gear,rpm,drs,position_x,position_y,position_z
2025-12-28T17:53:42.255151,2504271073,6,51,0,0.0,1,-128,18943,0,,,
2025-12-28T17:53:42.357926,2537825511,0,,,,,,,,0.0,-0.06,-0.0
2025-12-28T17:53:42.360472,2537825511,6,51,0,0.0,1,-128,18943,0,,,
2025-12-28T17:53:42.456495,2571379949,0,,,,,,,,0.0,-0.11,-0.0
2025-12-28T17:53:42.459569,2571379949,6,51,0,0.0,1,-128,18943,0,,,
2025-12-28T17:53:42.560322,2604934387,0,,,,,,,,0.0,-0.2,-0.0
2025-12-28T17:53:42.562871,2604934387,6,51,0,0.0,1,-128,19199,0,,,
2025-12-28T17:53:42.663374,2638488825,0,,,,,,,,0.0,-0.37,-0.0
2025-12-28T17:53:42.665966,2638488825,6,51,0,0.0,1,-128,19199,0,,,
2025-12-28T17:53:42.765759,2672043264,0,,,,,,,,0.0,-0.71,-0.0
2025-12-28T17:53:42.768333,2672043264,6,51,0,0.0,1,-128,19199,0,,,
2025-12-28T17:53:42.871923,2705597702,0,,,,,,,,0.0,-1.36,-0.0
2025-12-28T17:53:42.874365,2705597702,6,51,0,0.0,1,-128,19199,0,,,
2025-12-28T17:53:42.970334,2739152140,0,,,,,,,,0.0,-2.61,-0.0
2025-12-28T17:53:42.972750,2739152140,6,51,0,0.0,1,-128,19199,0,,,
2025-12-28T17:53:43.071910,2772706579,0,,,,,,,,0.0,-5.02,-0.0
2025-12-28T17:53:43.074347,2772706579,6,51,0,0.0,59137,102,19199,255,,,
2025-12-28T17:53:43.087257,2806261017,0,,,,,,,,0.0,-9.52,-0.0
2025-12-28T17:53:43.096157,2806261017,6,51,0,0.0,35329,-119,18175,8,,,
2025-12-28T17:53:43.276739,2839815457,0,,,,,,,,0.0,-19.51,-0.0
2025-12-28T17:53:43.279139,2839815457,6,51,0,0.0,1,0,14591,0,,,
2025-12-28T17:53:43.295198,2873369895,0,,,,,,,,0.0,-32.87,-0.0
2025-12-28T17:53:43.297541,2873369895,6,51,0,0.0,1,0,11007,0,,,
2025-12-28T17:53:43.381957,2906924332,0,,,,,,,,0.0,-57.51,-0.0
2025-12-28T17:53:43.384342,2906924332,6,51,0,0.0,1,0,7935,0,,,
2025-12-28T17:53:43.584423,2940478772,0,,,,,,,,0.0,-115.46,-0.0
2025-12-28T17:53:43.586850,2940478772,6,51,0,0.0,1,0,3839,0,,,
2025-12-28T17:53:43.599353,2974033210,0,,,,,,,,0.0,-224.43,-0.0
